,tench vs tench,trimaran vs catamaran,siberian husky vs malamute,greater swiss mountain dog vs entlebucher,traffic light vs rock python,hot pot vs slot,komodo dragon vs traffic light
0,-0.0037567015290260316,-0.007483988583087921,0.014605198264122009,0.03503212839365005,0.11314981985092164,-0.09316182804107666,-0.03499535310268402
1,0.064,0.01890822070837021,-0.0030692734718322755,0.03296086317300796,-0.002,0.01562739211320877,-0.024
2,0.004,-0.05986566656827927,0.0334376380443573,0.007411434769630432,0.032,0.033659170389175416,0.038
3,-0.048,0.018596788048744203,-0.002,0.062,-0.094,0.031447668850421905,0.044
4,-0.02,-0.004369998335838318,0.03571942275762558,0.004,-0.014,0.0023207130432128906,-0.028
5,0.02,-0.00875466424226761,-0.030813971877098084,0.03,-0.028,0.029111315727233886,0.018
6,-0.014,-0.057076751053333284,0.064,0.022,-0.018,0.034255786895751955,0.014
7,-0.01,-0.025783124566078185,-0.023843725919723512,-0.024,0.012,-0.024881552815437316,-0.022
8,-0.024,0.018713745474815368,0.014989966452121735,0.03994388943910599,0.052,0.05916767758131027,-0.042
9,-0.038,0.0026875461339950562,-0.01,0.0481978509426117,0.042,0.029338552951812744,-0.054
10,-0.002,-0.0019771894216537474,-0.032,0.011552682936191558,0.0,0.002668230712413788,-0.032
11,-0.008457939505577088,0.006271948099136352,0.024,0.022,0.026,0.07297115558385849,0.032
12,0.034,0.005428381025791168,-0.0016400169134140016,0.004,-0.058,-0.04125332140922546,-0.03
13,-0.016,-0.03396735054254532,-0.016,-0.042468029141426084,-0.024,-0.01851861310005188,-0.012
14,-0.032,0.04122907030582428,-0.00039445245265960695,0.007389905631542206,-0.016,0.029145336031913757,-0.03
15,0.032,-0.028170128524303437,-0.03,-0.05682324409484863,0.012,0.032468661427497866,-0.038
16,-0.052,0.0078357173204422,0.017279103696346283,-0.022383904218673707,0.044,0.030048033237457274,-0.022
17,0.03,-0.03101394236087799,0.028,0.01003474771976471,-0.002,0.003132199048995972,0.014
18,-0.072,0.01955023866891861,0.018,-0.014,-0.006,-0.012324477076530456,-0.004
19,0.002,-0.0370119264125824,-0.008,0.036068784475326535,-0.014,-0.007166742026805878,0.046
